"ID_study","system","latitud","longitud","n_avail","n_total","p_avail","p_total","c_total","light","temp","duration","vol","tax_resp","tax_resp_mn","tax_resp_sd","tax_resp_reps","tax_resp_cat","tax_resp_typ","n_add","p_add","n_rate","p_rate","tax_resp_unit","fert_unit"
"BBH047","freshwater","44","-74","15",NA,"0.36",NA,NA,NA,"22.5","2","10","phytoplankton","10","0.036","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH048","freshwater","44","-74","4.2",NA,"0.16",NA,NA,NA,"22.5","2","10","phytoplankton","7.2","0.32","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH048","freshwater","44","-74","4.2",NA,"0.16",NA,NA,NA,"22.5","2","10","phytoplankton","8.8","0.31","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH048","freshwater","44","-74","4.2",NA,"0.16",NA,NA,NA,"22.5","2","10","phytoplankton","8.5","0.27","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH048","freshwater","44","-74","4.2",NA,"0.16",NA,NA,NA,"22.5","2","10","phytoplankton","10","0.64","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH049","freshwater","44","-74","5.9",NA,"0.17",NA,NA,NA,"22.5","2","10","phytoplankton","4.4","0.81","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH049","freshwater","44","-74","5.9",NA,"0.17",NA,NA,NA,"22.5","2","10","phytoplankton","5.6","0.53","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH049","freshwater","44","-74","5.9",NA,"0.17",NA,NA,NA,"22.5","2","10","phytoplankton","5.3","0.84","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH049","freshwater","44","-74","5.9",NA,"0.17",NA,NA,NA,"22.5","2","10","phytoplankton","8.5","1.1","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH050","freshwater","44","-74","4.7",NA,"0.25",NA,NA,NA,"22.5","2","10","phytoplankton","3.8","0.31","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH050","freshwater","44","-74","4.7",NA,"0.25",NA,NA,NA,"22.5","2","10","phytoplankton","3.9","0.7","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH050","freshwater","44","-74","4.7",NA,"0.25",NA,NA,NA,"22.5","2","10","phytoplankton","3.7","0.076","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH050","freshwater","44","-74","4.7",NA,"0.25",NA,NA,NA,"22.5","2","10","phytoplankton","4.5","0.18","3","biomass","chlorophyll","1","0",NA,NA,NA,NA
"BBH050","freshwater","44","-74","4.7",NA,"0.25",NA,NA,NA,"22.5","2","10","phytoplankton","6.5","0.013","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH051","freshwater","44","-74","3.1",NA,"0.16",NA,NA,NA,"22.5","2","10","phytoplankton","2.9","0.2","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH051","freshwater","44","-74","3.1",NA,"0.16",NA,NA,NA,"22.5","2","10","phytoplankton","3.7","0.081","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH051","freshwater","44","-74","3.1",NA,"0.16",NA,NA,NA,"22.5","2","10","phytoplankton","3.5","0.18","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH051","freshwater","44","-74","3.1",NA,"0.16",NA,NA,NA,"22.5","2","10","phytoplankton","6.4","0.56","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH052","freshwater","44","-74","8.8",NA,"0.24",NA,NA,NA,"22.5","2","10","phytoplankton","2.5","0.017","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH052","freshwater","44","-74","8.8",NA,"0.24",NA,NA,NA,"22.5","2","10","phytoplankton","2.4","0.25","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH052","freshwater","44","-74","8.8",NA,"0.24",NA,NA,NA,"22.5","2","10","phytoplankton","2.6","0.18","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH052","freshwater","44","-74","8.8",NA,"0.24",NA,NA,NA,"22.5","2","10","phytoplankton","4.1","0.089","3","biomass","chlorophyll","1","0",NA,NA,NA,NA
"BBH052","freshwater","44","-74","8.8",NA,"0.24",NA,NA,NA,"22.5","2","10","phytoplankton","5.2","0.071","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH053","freshwater","44","-74","1.4",NA,"0.14",NA,NA,NA,"22.5","2","10","phytoplankton","3.6","0.17","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH053","freshwater","44","-74","1.4",NA,"0.14",NA,NA,NA,"22.5","2","10","phytoplankton","3.7","0.21","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH053","freshwater","44","-74","1.4",NA,"0.14",NA,NA,NA,"22.5","2","10","phytoplankton","3.8","0.25","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH053","freshwater","44","-74","1.4",NA,"0.14",NA,NA,NA,"22.5","2","10","phytoplankton","10","0.3","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH054","freshwater","44","-74","8.6",NA,"0.18",NA,NA,NA,"22.5","2","10","phytoplankton","3.6","0.066","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH054","freshwater","44","-74","8.6",NA,"0.18",NA,NA,NA,"22.5","2","10","phytoplankton","4.2","0.15","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH054","freshwater","44","-74","8.6",NA,"0.18",NA,NA,NA,"22.5","2","10","phytoplankton","4.2","0.14","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH054","freshwater","44","-74","8.6",NA,"0.18",NA,NA,NA,"22.5","2","10","phytoplankton","5.6","0.25","3","biomass","chlorophyll","1","0",NA,NA,NA,NA
"BBH054","freshwater","44","-74","8.6",NA,"0.18",NA,NA,NA,"22.5","2","10","phytoplankton","6.4","0.25","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH055","freshwater","44","-74","4.1",NA,"0.12",NA,NA,NA,"22.5","2","10","phytoplankton","1.3","0.34","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH055","freshwater","44","-74","4.1",NA,"0.12",NA,NA,NA,"22.5","2","10","phytoplankton","1.7","0.13","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH055","freshwater","44","-74","4.1",NA,"0.12",NA,NA,NA,"22.5","2","10","phytoplankton","1.7","0.088","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH055","freshwater","44","-74","4.1",NA,"0.12",NA,NA,NA,"22.5","2","10","phytoplankton","2.3","0.14","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH056","freshwater","44","-74","4.1",NA,"0.12",NA,NA,NA,"22.5","2","10","phytoplankton","1.4","0.074","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH056","freshwater","44","-74","4.1",NA,"0.12",NA,NA,NA,"22.5","2","10","phytoplankton","2.6","0.096","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH056","freshwater","44","-74","4.1",NA,"0.12",NA,NA,NA,"22.5","2","10","phytoplankton","4.7","0.036","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
