Index,Source number,Source name,Species name,Species code,Invert/Vert,Phylum,Class,Order,Family,Trophic guild,Dry mass (g),Log dry mass,Ecosystem Type,Energy Source,Habitat,Resident ecosystem,Temperature (C),N excretion rate (ug N/ind/h),P excretion rate (ug P/ind/h),Excreted N:P (molar),Log N excretion,Log P excretion,Incubation time (h),N form,P form,Body C,Body N,Body P,Body CN,Body CP,Body NP,Body data source,Data source,Data provider(s)
16,1,Alves et al 2010,Macrobrachium acanthurus,Macrac,Invertebrate,Arthropoda,Malacostraca,Decapoda,Palaemonidae,omni,0.0111,-1.955,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,1.3975,0.1243,24.891,0.145,-0.905,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
17,1,Alves et al 2010,Macrobrachium acanthurus,Macrac,Invertebrate,Arthropoda,Malacostraca,Decapoda,Palaemonidae,omni,0.0154,-1.812,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,1.9404,0.1506,28.535,0.288,-0.822,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
18,1,Alves et al 2010,Macrobrachium acanthurus,Macrac,Invertebrate,Arthropoda,Malacostraca,Decapoda,Palaemonidae,omni,0.0171,-1.767,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,2.1461,0.0534,88.92,0.332,-1.272,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
19,1,Alves et al 2010,Macrobrachium acanthurus,Macrac,Invertebrate,Arthropoda,Malacostraca,Decapoda,Palaemonidae,omni,0.0205,-1.688,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,1.6728,0.144,25.723,0.223,-0.842,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
20,1,Alves et al 2010,Macrobrachium acanthurus,Macrac,Invertebrate,Arthropoda,Malacostraca,Decapoda,Palaemonidae,omni,0.0216,-1.666,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,1.6762,0.0952,38.988,0.224,-1.021,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
21,1,Alves et al 2010,Macrobrachium acanthurus,Macrac,Invertebrate,Arthropoda,Malacostraca,Decapoda,Palaemonidae,omni,0.0248,-1.606,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,3.0454,0.2269,29.717,0.484,-0.644,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
22,1,Alves et al 2010,Macrobrachium acanthurus,Macrac,Invertebrate,Arthropoda,Malacostraca,Decapoda,Palaemonidae,omni,0.0281,-1.551,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,2.2733,0.0816,61.716,0.357,-1.089,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
23,1,Alves et al 2010,Macrobrachium acanthurus,Macrac,Invertebrate,Arthropoda,Malacostraca,Decapoda,Palaemonidae,omni,0.0315,-1.502,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,2.0601,0.1342,34.002,0.314,-0.872,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
24,1,Alves et al 2010,Macrobrachium acanthurus,Macrac,Invertebrate,Arthropoda,Malacostraca,Decapoda,Palaemonidae,omni,0.0339,-1.47,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,2.3798,0.1037,50.815,0.377,-0.984,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
25,1,Alves et al 2010,Macrobrachium acanthurus,Macrac,Invertebrate,Arthropoda,Malacostraca,Decapoda,Palaemonidae,omni,0.0527,-1.278,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,2.3452,0.2244,23.136,0.37,-0.649,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
26,2,Andersen 1989,Salpa fusiformis-Blastozoid,SalpfuB,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.00181,-2.742,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",12.75,0.1012,0.0175,12.8,-0.995,-1.757,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
